,Filename,x(cm),h(cm),date,time,duration,COM,totalcount,mean,std,plate1_move_x(cm),plate1_move_z(cm),Mean_CosTheta_CosSquaredTheta,Std_CosTheta_CosSquaredTheta,Mean_SolidAngle_CosSquaredTheta(sr),Std_SolidAngle_CosSquaredTheta(sr),Mean_Flux,Std_Flux,Mean_Flux_weighted,Std_Flux_weighted
28,output_x12cm_h10cm_20250617_154519_COM19.txt,12.0,10.0,20250617,154519,78215.3118,COM19,4528.0,0.057891477970174125,0.0008603227912343743,12.0,10.0,0.74396,0.11788,0.27991,0.10641,0.001986048300174132,0.000755645761008593,0.0022120265925018776,0.0008415498229053002
29,output_x14cm_h10cm_20250613_142633_COM3.txt,14.0,10.0,20250613,142633,89114.6132,COM3,4091.0,0.04590717339274721,0.0007177377904142609,14.0,10.0,0.67846,0.11188,0.21435,0.082722,0.002034391107662571,0.0007858402358157558,0.002034391107662571,0.0007858402358157558
30,output_x14cm_h10cm_20250613_142822_COM8.txt,14.0,10.0,20250613,142822,89010.236,COM8,2381.0,0.02674973246897132,0.0005482009012426774,14.0,10.0,0.67846,0.11188,0.21435,0.082722,0.0011406453216221749,0.0004409650923051322,0.0012619620395996573,0.0004877752271947453
31,output_x16cm_h10cm_20250613_142706_COM4.txt,16.0,10.0,20250613,142706,89084.711,COM4,2190.0,0.024583342926262623,0.0005253138872189906,16.0,10.0,0.6198,0.10258,0.16431,0.062514,0.0013561769171847495,0.0005170015302798797,0.0015025239581454492,0.0005726688746133362
32,output_x16cm_h10cm_20250613_142724_COM5.txt,16.0,10.0,20250613,142724,89070.175,COM5,2050.0,0.0230155604836299,0.0005083286935350366,16.0,10.0,0.6198,0.10258,0.16431,0.062514,0.001260760786539462,0.0004807089451413423,0.0015253875858832382,0.0005813660931768115
33,output_x18cm_h10cm_20250614_152932_COM3.txt,18.0,10.0,20250614,152932,74236.0536,COM3,1467.0,0.019761287526200072,0.0005159411653370959,18.0,10.0,0.56382,0.092857,0.12655,0.046275,0.0013797935619280974,0.0005062494401968274,0.0013797935619280974,0.0005062494401968274
34,output_x18cm_h10cm_20250614_153231_COM4.txt,18.0,10.0,20250614,153231,74061.4316,COM4,1115.0,0.015055069499898785,0.0004508637625920264,18.0,10.0,0.56382,0.092857,0.12655,0.046275,0.0010079075069062652,0.00037035954671486284,0.0011242739118169983,0.0004128753676304745
35,output_x20cm_h10cm_20250614_153523_COM5.txt,20.0,10.0,20250614,153523,73891.3485,COM5,684.0,0.009256834715907237,0.000353943921611392,20.0,10.0,0.51525,0.081532,0.098354,0.034235,0.0007073260585138619,0.0002490293712576884,0.000885132195436013,0.0003107513342393057
36,output_x20cm_h10cm_20250614_153938_COM19.txt,20.0,10.0,20250614,153938,73634.5555,COM19,833.0,0.011312623459783091,0.0003919591716598822,20.0,10.0,0.51525,0.081532,0.098354,0.034235,0.0009163453911160798,0.00032160166313332925,0.00104201833953746,0.00036526711823332765
37,output_x25cm_h10cm_20250616_210304_COM3.txt,25.0,10.0,20250616,210304,64543.551,COM3,374.0,0.005794537087059248,0.00029962837969379336,25.0,10.0,0.41915,0.056398,0.055407,0.016746,0.0006307031759631902,0.00019896388033926665,0.0006307031759631902,0.00019896388033926665
38,output_x25cm_h10cm_20250616_210401_COM4.txt,25.0,10.0,20250616,210401,64490.0513,COM4,317.0,0.0049154868636303905,0.0002760812475080921,25.0,10.0,0.41915,0.056398,0.055407,0.016746,0.00047204989687772133,0.00015219541296855715,0.0005588277508481549,0.00017770181679091008
39,output_x30cm_h10cm_20250616_210438_COM5.txt,30.0,10.0,20250616,210438,64456.7492,COM5,156.0,0.002420227546939336,0.00019377328443980537,30.0,10.0,0.35019,0.041154,0.033605,0.0088911,3.5776684106334153e-05,6.557451697293475e-05,0.00017183608811324177,8.309944261277496e-05
40,output_x30cm_h10cm_20250616_210534_COM19.txt,30.0,10.0,20250616,210534,64408.4859,COM19,206.0,0.003198336323568196,0.00022283865074380397,30.0,10.0,0.35019,0.041154,0.033605,0.0088911,0.00026732222096955696,0.00010141508006980593,0.00037131201789218085,0.00012415441917632916
41,output_x100cm_h10cm_20250610_110919_COM3.txt,100.0,10.0,20250610,110919,12595.2248,COM3,20.0,0.0015879033774768355,0.00035506598937397126,,,,,,,,,,
42,output_x100cm_h10cm_20250610_111018_COM4.txt,100.0,10.0,20250610,111018,12549.3314,COM4,32.0,0.0025499366444335036,0.0004507693732187502,,,,,,,,,,
43,output_x100cm_h10cm_20250610_111101_COM5.txt,100.0,10.0,20250610,111101,12513.4442,COM5,18.0,0.0014384528921302098,0.00033904659814755755,,,,,,,,,,
44,output_x100cm_h10cm_20250610_111130_COM19.txt,100.0,10.0,20250610,111130,12483.7093,COM19,32.0,0.0025633406891331567,0.0004531388959443633,,,,,,,,,,
45,output_x100cm_h10cm_20250610_151525_COM3.txt,100.0,10.0,20250610,151525,78476.7591,COM3,133.0,0.001694769273416644,0.00014695513330227213,,,,,,,,,,
