plate1_move_x(cm)	plate1_move_z(cm)	Coincidence_CosSquaredTheta(/s)	Mean_CosTheta_CosSquaredTheta	Std_CosTheta_CosSquaredTheta	Mean_SolidAngle_CosSquaredTheta(sr)	Std_SolidAngle_CosSquaredTheta(sr)	Mean_CosSquaredTheta_CosSquaredTheta
49.00	32.50	1.7245e-03	5.6081e-01	3.0262e-02	1.6150e-02	1.9757e-03	3.1542e-01
50.00	32.50	1.9792e-03	5.5307e-01	2.9989e-02	1.5486e-02	1.8774e-03	3.0678e-01
0.00	45.00	1.5856e-02	9.9223e-01	6.4760e-03	4.8206e-02	3.6144e-04	9.8456e-01
1.00	45.00	1.5984e-02	9.9174e-01	6.8613e-03	4.8169e-02	4.1271e-04	9.8359e-01
2.00	45.00	1.6053e-02	9.9136e-01	7.7041e-03	4.8072e-02	5.2989e-04	9.8286e-01
3.00	45.00	1.6586e-02	9.8992e-01	8.7016e-03	4.7899e-02	6.8700e-04	9.8001e-01
4.00	45.00	1.5868e-02	9.8892e-01	9.6443e-03	4.7669e-02	8.4823e-04	9.7805e-01
5.00	45.00	1.5787e-02	9.8698e-01	1.0792e-02	4.7378e-02	1.0189e-03	9.7424e-01
6.00	45.00	1.6169e-02	9.8386e-01	1.2790e-02	4.7010e-02	1.1849e-03	9.6815e-01
7.00	45.00	1.4815e-02	9.8143e-01	1.3725e-02	4.6598e-02	1.3438e-03	9.6340e-01
8.00	45.00	1.4745e-02	9.7796e-01	1.5892e-02	4.6113e-02	1.5066e-03	9.5665e-01
9.00	45.00	1.4699e-02	9.7495e-01	1.6691e-02	4.5595e-02	1.6424e-03	9.5080e-01
10.00	45.00	1.4074e-02	9.7092e-01	1.8380e-02	4.5006e-02	1.7928e-03	9.4302e-01
11.00	45.00	1.3345e-02	9.6640e-01	1.9886e-02	4.4384e-02	1.9060e-03	9.3433e-01
12.00	45.00	1.3299e-02	9.6194e-01	2.1083e-02	4.3708e-02	2.0406e-03	9.2578e-01
13.00	45.00	1.3542e-02	9.5672e-01	2.2976e-02	4.3003e-02	2.1375e-03	9.1585e-01
14.00	45.00	1.2373e-02	9.5213e-01	2.4268e-02	4.2241e-02	2.2355e-03	9.0713e-01
15.00	45.00	1.2836e-02	9.4730e-01	2.3579e-02	4.1489e-02	2.3230e-03	8.9794e-01
16.00	45.00	1.1412e-02	9.3901e-01	2.5513e-02	4.0673e-02	2.3972e-03	8.8238e-01
