1750063814.47044	26	2090	2708
1750063819.4883783	26	2101	2722
1750063824.5034685	27	2115	2738
1750063829.5182815	27	2120	2752
1750063834.5327265	27	2123	2769
1750063839.548334	27	2131	2779
1750063844.5632007	27	2141	2794
1750063849.5780177	27	2149	2810
1750063854.592729	28	2156	2825
1750063859.606001	28	2168	2836
1750063864.619711	29	2183	2851
1750063869.6365187	29	2190	2862
1750063874.6514902	29	2198	2875
1750063879.6666167	29	2207	2892
1750063884.6809807	29	2213	2902
1750063889.6946182	30	2219	2914
1750063894.7098148	30	2232	2926
1750063899.7225199	30	2237	2938
1750063904.7379038	30	2245	2952
1750063909.7532985	30	2255	2965
1750063914.7683263	30	2265	2980
1750063919.7855103	30	2275	2992
1750063924.800686	30	2287	3000
1750063929.8149886	30	2296	3012
1750063934.8310406	30	2301	3027
1750063939.8460639	31	2314	3036
1750063944.8632247	31	2323	3048
1750063949.8772218	31	2331	3062
1750063954.8931491	31	2337	3075
1750063959.9086413	31	2355	3087
1750063964.9236674	32	2370	3103
1750063969.9449012	32	2381	3115
1750063974.9607303	32	2389	3127
1750063979.9740155	32	2400	3147
1750063984.9884272	32	2405	3162
1750063990.0025866	32	2415	3179
1750063995.0260756	32	2430	3190
1750064000.042022	33	2437	3203
1750064005.056451	33	2447	3216
1750064010.069735	33	2452	3227
1750064015.083544	33	2460	3233
1750064020.099959	33	2470	3247
1750064025.1142478	33	2480	3261
1750064030.127741	34	2495	3276
1750064035.142812	34	2503	3287
1750064040.1572058	34	2518	3298
1750064045.175303	34	2529	3312
1750064050.188134	34	2536	3322
1750064055.2023392	34	2554	3331
1750064060.216903	35	2561	3345
1750064065.2318468	35	2572	3357
1750064070.251232	36	2590	3371
1750064075.2665465	36	2604	3383
1750064080.2808602	36	2609	3394
1750064085.2953146	36	2620	3410
1750064090.3086817	36	2630	3420
1750064095.3272245	36	2641	3430
1750064100.3414817	37	2650	3439
1750064105.3553748	37	2662	3452
1750064110.3687663	37	2676	3460
1750064115.3818223	37	2684	3477
1750064120.4015763	37	2694	3489
1750064125.415239	37	2709	3498
1750064130.429924	38	2717	3522
1750064135.444875	38	2731	3535
1750064140.459036	38	2738	3556
1750064145.4789574	38	2746	3572
1750064150.4939306	38	2764	3581
1750064155.5097358	38	2773	3595
1750064160.522865	39	2785	3608
1750064165.5372474	39	2793	3624
1750064170.5565326	39	2804	3632
1750064175.5712292	39	2816	3650
1750064180.5849023	39	2828	3659
1750064185.5996509	39	2841	3674
1750064190.6149476	39	2853	3685
1750064195.633195	39	2865	3700
1750064200.648216	39	2875	3711
1750064205.6630018	39	2886	3717
1750064210.6771598	39	2898	3728
1750064215.6898642	39	2907	3741
1750064220.712673	39	2916	3754
1750064225.7273123	39	2926	3767
1750064230.7417421	39	2933	3776
1750064235.7561524	39	2940	3786
1750064240.7700064	39	2950	3802
1750064245.7903802	39	2956	3816
1750064250.8051455	39	2963	3826
1750064255.8208842	39	2973	3837
1750064260.8351872	39	2988	3848
1750064265.8509321	39	2996	3864
1750064270.870745	40	3007	3877
1750064275.8862011	40	3018	3890
1750064280.900867	40	3030	3904
1750064285.9164321	40	3037	3916
1750064290.929112	40	3045	3937
1750064295.9496262	40	3054	3947
1750064300.9647105	40	3063	3960
1750064305.9797413	40	3066	3972
1750064310.9951127	40	3072	3983
1750064316.0075128	40	3081	3997
1750064321.0259418	40	3090	4008
1750064326.0410929	40	3095	4025
1750064331.0544732	40	3110	4043
1750064336.067827	40	3119	4057
1750064341.0837018	40	3124	4064
1750064346.0998485	40	3129	4080
1750064351.1140668	40	3133	4089
1750064356.1286674	41	3146	4108
1750064361.1437833	41	3153	4128
1750064366.1576564	41	3164	4148
1750064371.17726	41	3176	4157
1750064376.1941311	41	3182	4170
1750064381.2078128	41	3190	4183
1750064386.2224212	41	3201	4194
1750064391.237606	41	3210	4203
1750064396.2527506	41	3223	4222
1750064401.269249	42	3227	4237
1750064406.2839537	42	3237	4248
1750064411.2983673	42	3245	4260
1750064416.3119414	42	3261	4277
1750064421.326382	42	3274	4294
1750064426.3419552	42	3283	4301
1750064431.3570442	42	3292	4312
1750064436.3721282	42	3304	4321
1750064441.384602	42	3311	4329
1750064446.3976996	42	3320	4343
1750064451.41689	42	3329	4356
1750064456.4319847	42	3339	4367
1750064461.44658	42	3347	4375
1750064466.4608154	42	3354	4384
1750064471.4732764	42	3367	4392
1750064476.4913623	42	3382	4413
1750064481.5038538	42	3389	4427
1750064486.5157115	42	3402	4442
1750064491.5281837	42	3410	4459
1750064496.5473778	42	3421	4469
1750064501.5695028	42	3428	4481
1750064506.5852091	42	3433	4489
1750064511.6001198	42	3443	4497
1750064516.613555	42	3449	4509
1750064521.6295536	43	3457	4527
1750064526.6441176	43	3467	4539
1750064531.658514	43	3479	4552
1750064536.6713204	44	3493	4562
1750064541.6835163	44	3504	4575
1750064546.6992705	44	3511	4589
1750064551.721829	44	3520	4606
1750064556.7338796	45	3538	4625
1750064561.7457974	45	3552	4647
1750064566.7604277	46	3562	4657
1750064571.776763	46	3567	4670
1750064576.800274	46	3575	4678
1750064581.8158562	47	3583	4687
1750064586.828518	47	3596	4700
1750064591.8432918	47	3608	4714
1750064596.85826	47	3617	4725
1750064601.8773162	47	3625	4734
1750064606.8898396	47	3640	4745
1750064611.9021003	47	3656	4761
1750064616.9142861	47	3662	4771
1750064621.9297733	47	3670	4783
1750064626.9417443	47	3675	4799
1750064631.956	47	3684	4808
1750064636.9719954	47	3694	4824
1750064641.986572	48	3705	4842
1750064647.0047896	48	3714	4853
1750064652.0291445	48	3721	4870
1750064657.0440898	48	3728	4879
1750064662.057604	48	3736	4894
1750064667.0696654	48	3745	4906
1750064672.0817766	48	3755	4919
1750064677.101506	48	3763	4932
1750064682.1139274	49	3781	4945
1750064687.1270518	50	3794	4959
1750064692.1417341	50	3803	4976
1750064697.1569934	50	3806	4985
1750064702.1808608	50	3815	4995
1750064707.195541	50	3825	5007
1750064712.2115924	50	3834	5015
1750064717.2264078	50	3847	5037
1750064722.2398696	50	3866	5051
1750064727.2570455	51	3875	5067
1750064732.2691753	51	3887	5076
1750064737.28118	53	3896	5084
1750064742.29331	53	3908	5102
1750064747.308461	53	3919	5109
1750064752.3224335	53	3928	5128
1750064757.3353975	53	3937	5142
1750064762.3497605	53	3951	5153
1750064767.3653774	53	3960	5167
1750064772.3831978	53	3978	5177
1750064777.3984833	53	3989	5194
1750064782.4113762	53	3994	5208
